ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
2513.HK,2026-03-16,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,高,530.0,530.00美元,不适用。当前无持仓，暂不参与。,,,,['若价格放量有效跌破500.00整数关口，则趋势结构可能转向风险主导；若价格放量突破并站稳于582-600区域之上，叠加地缘风险缓和，则信号可能转为偏多。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0316-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-17,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,高,605.0,605.00 港元,暂不提供买入计划。未来若价格放量突破并站稳725港元前高，或回调至560-575港元支撑区间并出现明确企稳信号，同时宏观风险显著消退，可考虑转多。,560.0,575.0,,['若价格有效跌破560港元支撑，则技术结构可能转弱；若地缘冲突大幅升级引发系统性抛售，则整体市场风险主导。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0317-2513HK\2_decision\summary.md,中性,消化中,延展,等待确认
2513.HK,2026-03-18,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,高,621.5,621.5美元,当前不适合建仓。未来转多信号包括：1）地缘风险明显缓和；2）价格回调至550-560强支撑区域并出现明确企稳信号（如放量阳线、较长下影线）；3）公司发布超预期的商业化进展。届时可考虑回调企稳后分批介入。,550.0,560.0,,['若收盘价有效跌破550关键支撑位，且反弹无力重回其上，则中期上升结构可能破坏，转为风险主导，不再参与。若地缘冲突失控或公司出现负面基本面信号（如融资中断），立即转为回避。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0318-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-19,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,742.5,742.50 美元,等待价格回调至620-600美元区域（10日EMA及近期低点支撑带）出现企稳信号后，分批建仓介入。若价格未回调至此区域，则保持观望。,600.0,620.0,555.5,['价格收盘价有效跌破555.5美元（中期强支撑平台），则上升趋势结构可能被破坏，需转至观望或重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0319-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-03-20,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,高,659.0,659.0 美元,建议在价格回调至618-625美元区间（10日EMA附近）并出现企稳信号（如缩量十字星或阳线收高）后分批介入；若该区间失守，则等待560-575美元（前期成交密集区）的更强支撑再行参与。,618.0,625.0,560.0,['价格放量跌破560-575美元强支撑区域，且伴随50日SMA趋势走平或拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0320-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-03-23,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,高,630.5,630.50 美元,当前不参与。若未来出现以下信号之一，可转为偏多判断：1）价格在555.5-600.0支撑区域出现放量企稳并连续收阳；2）公司发布重大业务进展或融资利好；3）中东地缘冲突出现明确缓和信号。,555.5,600.0,555.5,['当前无持仓，不存在失效条件。未来若转为偏多后，失效条件为价格放量跌破555.5美元关键支撑，或公司出现融资受阻、营收失速等基本面证伪信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0323-2513HK\2_decision\summary.md,中性,缺位,正常,暂不参与
2513.HK,2026-03-24,sell,风险主导,建议卖出,风险主导,rule_based,Beta情绪技术驱动型,多因素混合主导,边际走弱,高,590.0,590.00美元,已有持仓者，建议在反弹至640-650阻力区减仓，或将止损位设置在555下方；若已无持仓，暂不参与任何新买入。,640.0,650.0,,['1. 价格放量重新站稳10日EMA（约620-630）并伴随MACD拐头向上；2. 地缘风险明确缓和（如停火信号）；3. 公司发布重大商业化利好（大额订单或技术突破）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0324-2513HK\2_decision\summary.md,看空,消化中,延展,暂不参与
2513.HK,2026-03-25,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,655.0,655.0 美元,暂不提供入场计划。未来若出现以下信号可考虑转为偏多立场：价格放量突破765.0前高并站稳；或缩量回调至590.0-630.0区间后出现企稳K线形态，同时伴随公司层面催化剂（如新品发布、财报指引超预期）。若跌破555.0-560.0深度支撑且无快速收复，则转为偏空立场。,590.0,630.0,,['当前保持观望的失效条件为：1）公司发布重大正面新闻（如商业化突破、大客户订单）；2）价格放量有效突破765.0前高；3）价格跌破555.0-560.0且持续走弱。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0325-2513HK\2_decision\summary.md,中性,消化中,延展,等待回调
2513.HK,2026-03-26,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,高,760.0,760.0 美元,当前不建议入场。未来若价格放量突破并站稳765.0美元前高阻力，且宏观风险显著缓解，可考虑在突破确认后轻仓跟多；或等待价格回调至650-655美元支撑区企稳后再评估。,650.0,655.0,550.0,['若价格有效跌破550-560美元中期关键支撑，则长期上升趋势可能逆转，转为深度调整。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0326-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-27,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,高,684.0,684.0美元,当前不提供买入计划。若未来信号转多，关注600-650美元支撑区缩量企稳后的参与机会；若信号转空，需在确认破位后执行防守动作。,600.0,650.0,600.0,['对多头信号而言，股价放量跌破600美元支撑视为看多逻辑失效；对空头信号而言，股价放量站稳700美元以上并创新高，视为防守逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0327-2513HK\2_decision\summary.md,中性,缺位,延展,等待回调
2513.HK,2026-03-30,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,668.0,668.0 美元,不适用。当前信号不提供买入或卖出执行计划。未来转多条件：价格有效回调至620-630支撑区域企稳，且成交量重新放大、RSI在50以上走强；或放量突破790阻力位。未来转空条件：价格跌破555关键支撑并带动50日均线拐头。,620.0,630.0,,['不适用。作为保持观望信号，无预设失效条件。若未来出现明确的多头或空头触发条件，信号将随之切换。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0330-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-31,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,733.5,733.5 美元,等待价格回调至668-659美元支撑区间（近期低点与10日EMA附近），配合成交量萎缩后再放量企稳信号分批参与；若回调更深，可关注630-605美元次级支撑区域。,659.0,668.0,600.0,['1）收盘价有效跌破600美元整数关口，中期上升趋势可能被破坏。2）MACD指标确认死叉且持续下行，RSI跌破50进入弱势区。3）后续业务数据或指引显示ARR增速显著放缓，证伪当前催化逻辑。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0331-2513HK\2_decision\summary.md,看多,支撑中,延展,等待回调
2513.HK,2026-04-01,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,公司催化主导,完整,中,693.5,693.5 美元,等待价格回调至650-620港元区间，观察缩量企稳或下影线信号后分批介入。,620.0,650.0,,['价格收盘有效跌破640港元（近期震荡平台下沿），或反弹无法突破755-765阻力区后再次走弱。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0401-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-04-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,915.0,915.0 港元,等待价格回调至730-750港元支撑区域（结合10日EMA与布林带上轨回踩目标），出现企稳信号（如日线收阳、成交量萎缩）后分批介入。若回调更深至680-700港元次级支撑区，可视为更优买点。,730.0,750.0,,['价格放量跌破680.0港元关键支撑区，并导致50日SMA走平或拐头向下；或出现新的公司层面重大利空（如融资断裂、核心技术掉队）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0402-2513HK\2_decision\summary.md,看多,支撑中,延展,等待回调
