ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-17,hold,skipped,,,,,action_hold,,,48.39,不适用 - 建议行动为“保持观望”。,,,,backtest\output\0420-0111-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,hold,skipped,,,,,action_hold,,,44.36,当前不建议入场。若未来转向积极，入场方式应为“等待确认后参与”：需同时满足价格回调至上述关键支撑区后出现明确企稳信号（如放量阳线），且宏观或行业情绪未转向负面。,,,,backtest\output\0420-0111-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,hold,skipped,,,,,action_hold,,,48.76,（因建议“保持观望”，故按空仓视角）**暂不出手**。当前不适合新建仓位。应等待以下条件至少满足其一：1) 价格回调至41.65-45.00美元关键支撑区域并出现明确的企稳信号（如长下影线、量缩后再次放量上涨）；2) 价格带量突破52.70美元阻力并站稳，确认上涨中继结构。,41.65,45.0,,backtest\output\0420-0111-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
AXTI,2026-03-20,hold,skipped,,,,,action_hold,,,58.09,（基于“保持观望”建议）暂无明确入场计划。若未来转为积极观点，入场应严格基于以下条件：**等待技术面回调至48.35-44.36或更低的39.13-38.56支撑区域并出现企稳迹象，同时宏观风险未进一步恶化。** 届时可考虑分步轻仓试探。,44.36,48.35,,backtest\output\0420-0111-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
AXTI,2026-03-23,hold,skipped,,,,,action_hold,,,54.24,**暂不出手**。当前价格不具备吸引力。对于空仓投资者，应避免追高。更合理的潜在参与路径是：等待价格有效回调至50-51美元（10日EMA及心理关口）区域并出现企稳迹象，或等待Q1财报发布后确认改善趋势再行评估。,50.0,51.0,,backtest\output\0420-0111-AXTI\reports\2026-0323-AXTI\2_decision\summary.md
AXTI,2026-03-24,hold,skipped,,,,,action_hold,,,64.44,（因建议“保持观望”，此条以空仓视角说明）当前不建议出手。更合理的参与方式是等待价格向关键技术支撑区域（如58-60美元或54-50美元）回调并出现企稳迹象，或等待下季度财报给出基本面改善的确认信号后再行评估。,58.0,60.0,,backtest\output\0420-0111-AXTI\reports\2026-0324-AXTI\2_decision\summary.md
AXTI,2026-03-25,sell,skipped,,,,,action_sell,,,68.44,（基于“用户当前已有持仓”视角）应优先**撤离/减仓**。核心原因是当前位置风险收益比极差，趋势强度与核心基本面、估值风险严重脱节，持仓暴露在巨大的不对称风险之下。触发点：当前价格（68.44美元）即是明确的获利了结或风险控制位，无需等待跌破具体支撑。,,,,backtest\output\0420-0111-AXTI\reports\2026-0325-AXTI\2_decision\summary.md
AXTI,2026-03-26,sell,skipped,,,,,action_sell,,,67.35,（鉴于建议卖出，按用户已有持仓视角）**优先减仓以控制风险**。考虑在股价反弹靠近70美元阻力区域时分批减仓，或设置动态止盈/止损于关键支撑位（如58.09美元）下方。若股价日线收盘确认跌破64.44美元，应考虑进一步降低仓位。,,,,backtest\output\0420-0111-AXTI\reports\2026-0326-AXTI\2_decision\summary.md
AXTI,2026-03-27,hold,skipped,,,,,action_hold,,,58.51,当前建议“保持观望”，因此默认**暂不出手**。潜在参与的前提是：1) 宏观情绪稳定；2) 股价回调至50-55美元支撑区间并出现明确的企稳组合信号（如缩量、RSI底背离）。在此之前，任何买入动作均属左侧博弈，风险较高。,50.0,55.0,,backtest\output\0420-0111-AXTI\reports\2026-0327-AXTI\2_decision\summary.md
AXTI,2026-03-30,sell,skipped,,,,,action_sell,,,60.63,针对已有持仓者**：应果断采取防御策略。优先考虑减仓以锁定部分利润或降低仓位风险。若仓位较重，任何向65-70美元阻力区的反弹都是减仓机会。可将止损或预警线设置在短期关键支撑54.24美元下方，若跌破该位置，意味着技术面进一步走弱，应考虑继续撤离。,65.0,70.0,,backtest\output\0420-0111-AXTI\reports\2026-0330-AXTI\2_decision\summary.md
AXTI,2026-03-31,sell,skipped,,,,,action_sell,,,52.73,（基于用户当前已有持仓假设）当前应优先考虑**减仓或撤离**。技术面已出现明确的短期破位信号（放量长阴跌破10日EMA），且面临地缘政治与负面舆论的外部压力。触发点：**若股价反弹无法有效站上56.84美元（10日EMA）或60美元阻力区，是执行减仓的明确信号**；若直接跌破49.31美元近期低点，则应考虑进一步止损以控制下行风险。,,,4.0,backtest\output\0420-0111-AXTI\reports\2026-0331-AXTI\2_decision\summary.md
AXTI,2026-04-01,hold,skipped,,,,,action_hold,,,56.98,（本建议为“保持观望”，暂不涉及具体入场方式）,,,,backtest\output\0420-0111-AXTI\reports\2026-0401-AXTI\2_decision\summary.md
AXTI,2026-04-02,hold,skipped,,,,,action_hold,,,47.14,（基于“保持观望”建议）当前不适宜新建仓。潜在参与者应等待以上关键催化因素（尤其是地缘风险缓和或公司基本面出现明确改善迹象）至少出现一项，并结合价格在关键支撑区出现企稳信号后，再考虑分批布局。,,,54.67,backtest\output\0420-0111-AXTI\reports\2026-0402-AXTI\2_decision\summary.md
AXTI,2026-04-06,sell,skipped,,,,,action_sell,,,52.84,（基于用户当前已有持仓）建议优先减仓或设置止损撤离。原因：技术面短期结构破坏且处于高波动调整，叠加未澄清的负面传闻，持仓风险收益比恶化。触发点：若股价反弹无力收复并站稳10日EMA（约52.4美元），应视为减仓信号；若股价跌破46.80美元（4月1日低点下方）或42.00美元关键支撑，应考虑进一步止损。,,,,backtest\output\0420-0111-AXTI\reports\2026-0406-AXTI\2_decision\summary.md
AXTI,2026-04-07,hold,skipped,,,,,action_hold,,,41.99,因建议观望，故当前无需入场操作。未来若转向积极，入场条件为：价格在37-40美元关键支撑区出现缩量止跌或看涨K线形态，且至少收复10日EMA（动态阻力），方可考虑分批轻仓试探。,37.0,40.0,,backtest\output\0420-0111-AXTI\reports\2026-0407-AXTI\2_decision\summary.md
