ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-16,hold,skipped,,,,,action_hold,,,48.86,当前不急于参与。未来转多需同时满足：1) 价格回调至38.00-43.50美元支撑区间并出现企稳信号；2) 宏观风险偏好回暖，板块情绪稳定；3) 公司基本面出现改善迹象（如毛利率提升）。,38.0,43.5,37.5,backtest\output\0420-1422-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,hold,skipped,,,,,action_hold,,,48.39,当前不急于参与。未来若转多，需满足以下条件之一：,,,38.5,backtest\output\0420-1422-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,hold,skipped,,,,,action_hold,,,44.36,当前不急于参与。未来若转多，需观察：1) 价格在39.00-40.00美元区间出现缩量企稳后放量反弹；或2) 宏观风险消退后，价格放量突破48.80-49.00美元阻力区。,39.0,40.0,44.58,backtest\output\0420-1422-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,hold,skipped,,,,,action_hold,,,48.76,当前不急于参与。未来若转向做多，需满足以下条件之一：,,,37.11,backtest\output\0420-1422-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
AXTI,2026-03-20,hold,skipped,,,,,action_hold,,,58.09,当前不急于参与。未来若转为做多，需同时满足：1) 价格回调至关键支撑区（如44-48美元）并出现企稳信号；且 2) 宏观地缘政治风险出现阶段性缓和；且 3) 公司或行业出现基本面改善的进一步证据。,44.0,48.0,,backtest\output\0420-1422-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
AXTI,2026-03-23,buy_on_pullback,triggered,2026-03-30,50.0,2026-04-02,44.3,stop_loss,3.0,-11.4,54.24,等待价格回调至48.50-50.00美元区间企稳（如出现pin bar、阳包阴等止跌信号）后分批买入。,48.5,50.0,44.3,backtest\output\0420-1422-AXTI\reports\2026-0323-AXTI\2_decision\summary.md
AXTI,2026-03-24,buy_on_pullback,triggered,2026-03-30,54.4,2026-04-02,44.3,stop_loss,3.0,-18.5662,64.44,回调至 48.00-54.40 美元区间（涵盖中期平台支撑与10日EMA），观察企稳信号（如缩量、下影线、RSI回落至70以下）后分批买入。,48.0,54.4,44.3,backtest\output\0420-1422-AXTI\reports\2026-0324-AXTI\2_decision\summary.md
AXTI,2026-03-25,hold,skipped,,,,,action_hold,,,68.44,当前不急于参与。未来若转为做多，需观察价格能否在关键支撑区域（如58.00-61.00美元）企稳并伴随成交量放大，或出现放量突破70.69美元前高的确认信号。,58.0,61.0,,backtest\output\0420-1422-AXTI\reports\2026-0325-AXTI\2_decision\summary.md
AXTI,2026-03-26,hold,skipped,,,,,action_hold,,,67.35,当前不急于参与。未来若转为做多，需同时满足：1. 价格回调至48.76-57.07美元支撑区域企稳；2. 宏观地缘政治风险出现明确缓和迹象；3. 成交量配合放大。,48.76,57.07,,backtest\output\0420-1422-AXTI\reports\2026-0326-AXTI\2_decision\summary.md
AXTI,2026-03-27,hold,skipped,,,,,action_hold,,,58.51,当前不急于参与。未来转多需观察：价格在关键支撑区企稳，且伴随成交量温和放大，重新站稳10日EMA（约57.70美元）及布林带中轨（约49.87美元）之上。,,,68.0,backtest\output\0420-1422-AXTI\reports\2026-0327-AXTI\2_decision\summary.md
AXTI,2026-03-30,hold,skipped,,,,,action_hold,,,60.63,当前不急于参与。未来若转多，需观察价格在54.24-57.00美元支撑区出现明确企稳信号（如日线收盘站稳56.81美元/10日EMA上方，且RSI回升至50以上），或放量突破70.69美元前高。,54.24,57.0,48.39,backtest\output\0420-1422-AXTI\reports\2026-0330-AXTI\2_decision\summary.md
AXTI,2026-03-31,hold,skipped,,,,,action_hold,,,52.73,当前不急于参与。未来若转多，需观察价格在关键支撑区间（如50.00-52.00美元或44.30-48.86美元）企稳后，放量突破并站稳64.44美元（前高）上方。,50.0,52.0,44.3,backtest\output\0420-1422-AXTI\reports\2026-0331-AXTI\2_decision\summary.md
AXTI,2026-04-01,hold,skipped,,,,,action_hold,,,56.98,当前不急于参与。未来若转多，需观察价格在50.00-53.00美元区间内出现缩量企稳或放量反弹迹象，并站稳55美元上方。,50.0,53.0,50.0,backtest\output\0420-1422-AXTI\reports\2026-0401-AXTI\2_decision\summary.md
AXTI,2026-04-02,hold,skipped,,,,,action_hold,,,47.14,当前不急于参与。未来若转多，需同时满足：1) 价格在关键支撑区（如44.30-45.50美元）企稳并伴随成交量收缩；2) 宏观情绪（油价、美元、SOX指数）稳定或改善；3) 出现公司层面积极催化。届时可考虑分批布局，但当前条件未满足。,44.3,45.5,44.3,backtest\output\0420-1422-AXTI\reports\2026-0402-AXTI\2_decision\summary.md
AXTI,2026-04-06,hold,skipped,,,,,action_hold,,,52.84,当前不急于参与。未来转多需同时满足：1）价格在46.00-52.00美元区间内出现日线级别企稳信号（如长下影线或小实体震荡后放量阳线）；2）公司对负面报告做出有力澄清；3）半导体板块情绪止跌回升。,46.0,52.0,46.0,backtest\output\0420-1422-AXTI\reports\2026-0406-AXTI\2_decision\summary.md
AXTI,2026-04-07,hold,skipped,,,,,action_hold,,,41.99,当前不急于参与。未来转多需观察：价格在39.7-42.1美元或37.8美元（50日均线）附近出现明确止跌K线组合，且RSI形成底背离、成交量萎缩后再次放大。,39.7,42.1,31.5,backtest\output\0420-1422-AXTI\reports\2026-0407-AXTI\2_decision\summary.md
